Gene,CellType
Hif1a,Myofb
Lmna,Myofb
Rpl12,Myofb
Pofut2,Myofb
Hspe1,Myofb
Aprt,Myofb
Loxl1,Myofb
Capzb,Myofb
Yif1a,Myofb
Col4a2,Myofb
Nans,Myofb
Manf,Myofb
Calm1,Myofb
Stt3a,Myofb
Akr1a1,Myofb
Rpl38,Myofb
Pigs,Myofb
Dnpep,Myofb
Tfg,Myofb
Tubb2a,Myofb
Lsp1,Myofb
Igfbp7,Myofb
Morf4l2,Myofb
Fam198b,Myofb
Eif4a1,Myofb
Pdia4,Myofb
Sar1a,Myofb
Galk1,Myofb
Otub1,Myofb
Rps8,Myofb
Atpif1,Myofb
Calu,Myofb
Fkbp14,Myofb
Abhd2,Myofb
Cnpy2,Myofb
Plscr3,Myofb
Ppp1ca,Myofb
Pi16,PLS
Cd248,PLS
Tmem100,PLS
Efhd1,PLS
Ly6c1,PLS
Sema3c,PLS
Gfpt2,PLS
Ly6a,PLS
Cd55,PLS
Ackr3,PLS
Lrrn4cl,PLS
Scara5,PLS
Igfbp6,PLS
Clec3b,PLS
Uap1,PLS
Nbl1,PLS
Cd34,PLS
Pcsk6,PLS
Axl,PLS
Ugdh,PLS
Mfap5,PLS
Ifi27l2a,PLS
Crip1,PLS
Pcolce2,PLS
Pla1a,PLS
Fbn1,PLS
Hn1,PLS
Mustn1,PLS
Efemp1,PLS
Ugp2,PLS
Ebf1,PLS
Klf4,PLS
Anxa3,PLS
Zfp385a,PLS
Adamts5,PLS
Ppp1r14b,PLS
Lims2,PLS
Emilin2,PLS
Adgrd1,PLS
Tppp3,PLS
Thbd,PLS
Timp2,PLS
Thy1,PLS
Creb5,PLS
Tnxb,PLS
Uqcc2,PLS
S100a10,PLS
Limch1,PLS
Ecm1,PLS
Fbln2,PLS
Myoc,PLS
Serpinb6a,PLS
Ahnak2,PLS
Pmp22,PLS
Emp3,PLS
Carhsp1,PLS
Crip2,PLS
Sulf2,PLS
Ramp2,PLS
Ahnak,PLS
1700019D03Rik,PLS
Vcan,PLS
Islr,PLS
Dbn1,PLS
Pgf,PLS
Metrnl,PLS
Prkcdbp,PLS
Anxa1,PLS
Hs3st1,PLS
Selenbp1,PLS
Ablim1,PLS
Lamc1,PLS
Ddah2,PLS
Slco3a1,PLS
Sptbn1,PLS
Qpct,PLS
Fhl1,PLS
S100a6,PLS
Actg1,PLS
Heg1,PLS
Klf3,PLS
Mgll,PLS
Ddr2,PLS
Vat1,PLS
Ckb,PLS
Gstm1,PLS
Rhoc,PLS
Lpar1,PLS
Rap1a,PLS
S100a13,PLS
Gda,PLS
Tspo,PLS
Tshz1,PLS
Medag,PLS
Adamtsl5,PLS
Ccnd3,PLS
Fstl1,PLS
Loxl2,PLS
Cltb,PLS
Tek,PLS
Prss23,PLS
Plpp3,PLS
Oaf,PLS
Prr13,PLS
Smim14,PLS
Dpt,PLS
Man1a,PLS
Triobp,PLS
Nid1,PLS
Anxa2,PLS
Fyn,PLS
Trip10,PLS
Aes,PLS
Zyx,PLS
Sulf1,PLS
Aig1,PLS
Camk2n1,PLS
S100a16,PLS
Cd9,PLS
Bmp1,PLS
Nav1,PLS
Pqlc3,PLS
Wnk1,PLS
Tmbim1,PLS
Htra3,PLS
Antxr2,PLS
Rab23,PLS
Lsp1,PLS
Rhoa,PLS
Gas7,PLS
Scd1,PLS
Ptrf,PLS
Ntn1,PLS
C3,PLS
Sh3kbp1,PLS
Ybx3,PLS
Atf5,PLS
Bag1,PLS
Plekho2,PLS
Ebf2,PLS
Rnase4,PLS
Fndc1,PLS
Cd47,PLS
Entpd2,PLS
Glud1,PLS
Pdlim2,PLS
Cdc42ep2,PLS
Stx4a,PLS
Lrp1,PLS
Klf2,PLS
Arap1,PLS
Cxxc5,PLS
Sparcl1,LR
Meox1,LR
Adamtsl2,LR
Col15a1,LR
Smoc2,LR
Col8a1,LR
Cilp,LR
Emp1,LR
Fibin,LR
Kcnk2,LR
Spon2,LR
Cst6,LR
Ltbp4,LR
Ckb,LR
Ace,LR
Col4a4,LR
Camk2n1,LR
Jup,LR
Itgbl1,LR
Pmepa1,LR
Mmp2,LR
Itgb5,LR
Ccnd1,LR
Mfap4,LR
Aspn,LR
Vwa1,LR
Spry1,LR
Col4a1,LR
Cygb,LR
Tmem204,LR
Ackr4,LR
Tcf4,LR
Ifngr1,LR
Igfbp7,LR
Fbln2,LR
Crispld2,LR
Nbl1,LR
Entpd2,LR
Col4a2,LR
Pmp22,LR
Mxra7,LR
Jun,LR
Bgn,LR
Rftn1,LR
Creb3l2,LR
Heyl,LR
Lama2,LR
Mtch1,LR
Matn2,LR
F2r,LR
Adcy7,LR
Amotl1,LR
Bmp4,LR
Hspg2,LR
Hspa1a,LR
Pi16,LR
Akap12,LR
Lum,LR
Islr,LR
Abca8a,LR
Nid1,LR
Nav1,LR
Pcolce,LR
Col6a2,LR
Sptbn1,LR
Col6a3,LR
Svep1,LR
Oaf,LR
Nfic,LR
Ugp2,LR
1700025G04Rik,LR
Klf2,LR
Mfap5,LR
Igfbp6,LR
Marcks,LR
Bhlhe40,LR
Cd9,LR
Sdc2,LR
Ubl3,LR
Lhfp,LR
Jund,LR
C1qtnf2,LR
Rnf11,LR
Cyth3,LR
Lamc1,LR
Pam,Phagoc
Actb,Phagoc
Slc39a1,Phagoc
Nfia,Phagoc
Kdelr2,Phagoc
Spry2,Phagoc
Lyz2,Phagoc
Notch2,Phagoc
Dpysl2,Phagoc
Bhlhe41,Phagoc
Abhd2,Phagoc
Lrrc8a,Phagoc
Dusp3,Phagoc
Cbx3,Phagoc
Ifi27l2a,Phagoc
Gnb1,Phagoc
Alkbh5,Phagoc
Cd74,Phagoc
Insig1,Phagoc
B4galt1,Phagoc
Pdpn,Phagoc
Pdcd4,Phagoc
Marf1,Phagoc
Wtap,Phagoc
Gas7,Phagoc
Tubb5,Phagoc
Cdkn1b,Phagoc
Cercam,Phagoc
Zc3hav1,Phagoc
Sept2,Phagoc
Lum,Phagoc
Supt16,Phagoc
Ccnd1,Phagoc
S100a10,Phagoc
S100a6,Phagoc
Ckb,Phagoc
Rhoa,Phagoc
Otub1,Phagoc
Gm2a,Phagoc
Spon2,Phagoc
Pcolce,Phagoc
Tppp3,Phagoc
Ly6a,Phagoc
Pmp22,Phagoc
Smoc2,Phagoc
Col8a1,Phagoc
Gatad1,Phagoc
S100a11,Phagoc
Skil,Phagoc
Arglu1,Phagoc
Mt2,IR
Mt1,IR
Ccl2,IR
Prg4,IR
Timp1,IR
Serpina3n,IR
Ccl7,IR
Angptl4,IR
Gm12840,IR
Mmp3,IR
Cxcl1,IR
Uap1,IR
Mif,IR
Tnfaip6,IR
Ldha,IR
Errfi1,IR
Ly6a,IR
Slc25a5,IR
Cebpb,IR
Gfpt2,IR
Eif4a1,IR
Itga5,IR
Ugdh,IR
Ier3,IR
Pdpn,IR
Ly6c1,IR
Eif5a,IR
Serpine1,IR
Rbm3,IR
Gadd45g,IR
Il33,IR
Nme1,IR
Ran,IR
Tnfrsf12a,IR
Ppp1r14b,IR
Hspa5,IR
Hmox1,IR
Cdkn1a,IR
Ncl,IR
Srm,IR
Hspd1,IR
Srpx,IR
Plin2,IR
Sod2,IR
Sdc4,IR
Nfkbia,IR
Pgf,IR
Manf,IR
Rps2,IR
Aldh1a2,IR
Nr4a1,IR
Nhp2,IR
Fth1,IR
