Gene,CellType
Rad21,Prolif Myofb
Dctpp1,Prolif Myofb
Ccl2,Prolif Myofb
Atp5b,Prolif Myofb
Tuba1a,Prolif Myofb
Hmgn1,Prolif Myofb
Lsm5,Prolif Myofb
Gmnn,Prolif Myofb
Tpi1,Prolif Myofb
Nudcd2,Prolif Myofb
Anxa2,Prolif Myofb
Lsm3,Prolif Myofb
Banf1,Prolif Myofb
Ssr1,Prolif Myofb
Lox,Prolif Myofb
Gins2,Prolif Myofb
Hn1,Prolif Myofb
Srsf7,Prolif Myofb
Kif20b,Prolif Myofb
Idh2,Prolif Myofb
Diaph3,Prolif Myofb
Supt16,Prolif Myofb
Shcbp1,Prolif Myofb
Calm1,Prolif Myofb
Ncl,Prolif Myofb
Aurka,Prolif Myofb
Fabp5,Prolif Myofb
Eno1,Prolif Myofb
Cycs,Prolif Myofb
Hint1,Prolif Myofb
Ldha,Prolif Myofb
Snrpa1,Prolif Myofb
Tnfrsf12a,Prolif Myofb
Fkbp11,Prolif Myofb
4930579G24Rik,Prolif Myofb
Rfc2,Prolif Myofb
Cmc2,Prolif Myofb
Kif2c,Prolif Myofb
Npm1,Prolif Myofb
Nsmce1,Prolif Myofb
Thy1,Prolif Myofb
Cst6,Prolif Myofb
Mrpl18,Prolif Myofb
Loxl2,Prolif Myofb
Col8a1,Prolif Myofb
Morf4l2,Prolif Myofb
Hspd1,Prolif Myofb
Pdia6,Prolif Myofb
Csrp1,Prolif Myofb
Hnrnpk,Prolif Myofb
Cnn3,Prolif Myofb
Tceb1,Prolif Myofb
Nasp,Prolif Myofb
Tcp1,Prolif Myofb
Col1a1,Prolif Myofb
Dazap1,Prolif Myofb
Ppa1,Prolif Myofb
Hn1l,Prolif Myofb
Prelid1,Prolif Myofb
Cct7,Prolif Myofb
Manf,Prolif Myofb
Nt5dc2,Prolif Myofb
H1f0,Prolif Myofb
Ssrp1,Prolif Myofb
Atp5g2,Prolif Myofb
Atp5o,Prolif Myofb
Prmt1,Prolif Myofb
Casc5,Prolif Myofb
Cox7a2,Prolif Myofb
Reep4,Prolif Myofb
Erp29,Prolif Myofb
Acot7,Prolif Myofb
Slc39a1,Prolif Myofb
Ppic,Prolif Myofb
Calm3,Prolif Myofb
Melk,Prolif Myofb
Wisp1,Prolif Myofb
G3bp1,Prolif Myofb
Plp2,Prolif Myofb
Anapc15,Prolif Myofb
Depdc1a,Prolif Myofb
Hsp90b1,Prolif Myofb
Slbp,Prolif Myofb
Lsm4,Prolif Myofb
Sfpq,Prolif Myofb
Hnrnpa3,Prolif Myofb
Serbp1,Prolif Myofb
Vmp1,Prolif Myofb
Pdap1,Prolif Myofb
Psip1,Prolif Myofb
Mrpl51,Prolif Myofb
Txnl1,Prolif Myofb
Pkm,Prolif Myofb
Ddx39b,Prolif Myofb
Ube2n,Prolif Myofb
Cacybp,Prolif Myofb
Psma4,Prolif Myofb
Rnaseh2c,Prolif Myofb
C330027C09Rik,Prolif Myofb
Siva1,Prolif Myofb
Rfc4,Prolif Myofb
Tcf19,Prolif Myofb
Gm10076,Prolif Myofb
Ssna1,Prolif Myofb
Ptms,Prolif Myofb
Haus7,Prolif Myofb
Raly,Prolif Myofb
Ezh2,Prolif Myofb
Bzw1,Prolif Myofb
Marcksl1,Prolif Myofb
Ecscr,Prolif Myofb
Hnrnpf,Prolif Myofb
Ywhae,Prolif Myofb
Naa50,Prolif Myofb
Exosc8,Prolif Myofb
Ak6,Prolif Myofb
Nono,Prolif Myofb
Abracl,Prolif Myofb
Usp1,Prolif Myofb
Nans,Prolif Myofb
Ncaph2,Prolif Myofb
Eif4e,Prolif Myofb
Pcna,Prolif Myofb
Rpsa,Prolif Myofb
Trim59,Prolif Myofb
Eif2s1,Prolif Myofb
Reep5,Prolif Myofb
Mcm5,Prolif Myofb
Wdr1,Prolif Myofb
sept7,Prolif Myofb
Mapre1,Prolif Myofb
Cit,Prolif Myofb
Rbbp7,Prolif Myofb
Ubl4a,Prolif Myofb
Fkbp3,Prolif Myofb
Wbp5,Prolif Myofb
Cct8,Prolif Myofb
Rfc5,Prolif Myofb
Cald1,Prolif Myofb
Ap1s1,Prolif Myofb
Pa2g4,Prolif Myofb
Incenp,Prolif Myofb
Ppih,Prolif Myofb
Sec61g,Prolif Myofb
Hnrnpc,Prolif Myofb
Mcm6,Prolif Myofb
Cenpk,Prolif Myofb
Odc1,Prolif Myofb
Rad51,Prolif Myofb
Ska1,Prolif Myofb
Ssr3,Prolif Myofb
Tubb3,Prolif Myofb
Psmd7,Prolif Myofb
Tubb2b,Prolif Myofb
Tspan6,Prolif Myofb
Psma6,Prolif Myofb
Mlf2,Prolif Myofb
Isg15,Prolif Myofb
Cnih4,Prolif Myofb
Rps27l,Prolif Myofb
Vamp5,Prolif Myofb
Bub1b,Prolif Myofb
Crlf1,Prolif Myofb
Ubald2,Prolif Myofb
Aldh1a2,Prolif Myofb
Pbdc1,Prolif Myofb
Magoh,Prolif Myofb
Mdh2,Prolif Myofb
Atp5f1,Prolif Myofb
Rnf26,Prolif Myofb
Tubb2a,Prolif Myofb
Srsf6,Prolif Myofb
Ap2s1,Prolif Myofb
Ywhaq,Prolif Myofb
Rpa2,Prolif Myofb
U2af1,Prolif Myofb
P4ha3,Prolif Myofb
Pole3,Prolif Myofb
Tmem97,Prolif Myofb
Arpp19,Prolif Myofb
P4hb,Prolif Myofb
Psmb7,Prolif Myofb
Ostc,Prolif Myofb
Msn,Prolif Myofb
Gspt1,Prolif Myofb
Sh3bgrl3,Prolif Myofb
Maged1,Prolif Myofb
Tm4sf1,Prolif Myofb
Snrpd3,Prolif Myofb
Ptges3,Prolif Myofb
Rpa3,Prolif Myofb
Rpl41,Prolif Myofb
Ncapd2,Prolif Myofb
Sec61b,Prolif Myofb
Mlec,Prolif Myofb
Tpm3,Prolif Myofb
Psmd13,Prolif Myofb
Nudc,Prolif Myofb
Ube2l3,Prolif Myofb
Dcun1d5,Prolif Myofb
Tmem167,Prolif Myofb
Trip13,Prolif Myofb
Ddost,Prolif Myofb
Ndufa4,Prolif Myofb
Psmd2,Prolif Myofb
H2afy,Prolif Myofb
Hjurp,Prolif Myofb
Surf4,Prolif Myofb
Mmp14,Prolif Myofb
Vdac2,Prolif Myofb
1500009L16Rik,Prolif Myofb
Fstl1,Prolif Myofb
Nrm,Prolif Myofb
Haus4,Prolif Myofb
Fam96a,Prolif Myofb
Gdi2,Prolif Myofb
Mettl9,Prolif Myofb
Psmd14,Prolif Myofb
Bok,Prolif Myofb
Sec13,Prolif Myofb
Snx7,Prolif Myofb
Commd1,Prolif Myofb
Plk4,Prolif Myofb
Serp1,Prolif Myofb
Eif2s2,Prolif Myofb
Hnrnpu,Prolif Myofb
Psat1,Prolif Myofb
Dhfr,Prolif Myofb
Lman1,Prolif Myofb
Rcn1,Prolif Myofb
Rps2,Prolif Myofb
Swi5,Prolif Myofb
Mcm7,Prolif Myofb
Snrpc,Prolif Myofb
Emilin1,Prolif Myofb
Cdv3,Prolif Myofb
2700029M09Rik,Prolif Myofb
Cct3,Prolif Myofb
Mzt1,Prolif Myofb
Psmb4,Prolif Myofb
Sdc1,Prolif Myofb
Srpx2,Prolif Myofb
Ppp1ca,Prolif Myofb
Gpx8,Prolif Myofb
Cbx1,Prolif Myofb
Nde1,Prolif Myofb
Kpnb1,Prolif Myofb
Hspe1,Prolif Myofb
Mrpl42,Prolif Myofb
Dpysl3,Prolif Myofb
Rac1,Prolif Myofb
Ctps,Prolif Myofb
Srp9,Prolif Myofb
Tspo,Prolif Myofb
Cmpk1,Prolif Myofb
Glipr2,Prolif Myofb
Npm3,Prolif Myofb
Psma7,Prolif Myofb
Calr,Prolif Myofb
Mrpl20,Prolif Myofb
Ptbp1,Prolif Myofb
Vcp,Prolif Myofb
Hnrnpm,Prolif Myofb
Hdac2,Prolif Myofb
Fhl2,Prolif Myofb
Nudt5,Prolif Myofb
Txndc12,Prolif Myofb
Bst2,Prolif Myofb
Tex30,Prolif Myofb
Lmf2,Prolif Myofb
Ube2i,Prolif Myofb
Pcbp1,Prolif Myofb
Snrpg,Prolif Myofb
Atpif1,Prolif Myofb
Psmd6,Prolif Myofb
Nop56,Prolif Myofb
Fen1,Prolif Myofb
Tmed2,Prolif Myofb
Rnaseh2b,Prolif Myofb
Nop58,Prolif Myofb
Pdlim1,Prolif Myofb
Psma2,Prolif Myofb
Tmem14c,Prolif Myofb
Metap2,Prolif Myofb
Ppib,Prolif Myofb
Efemp2,Prolif Myofb
Ttyh2,Prolif Myofb
Tspan4,Prolif Myofb
Stip1,Prolif Myofb
Cwc15,Prolif Myofb
Atp5g1,Prolif Myofb
Ssr4,Prolif Myofb
Cdkn2c,Prolif Myofb
Ppil1,Prolif Myofb
Prdx2,Prolif Myofb
Sparc,Prolif Myofb
Mrpl33,Prolif Myofb
Phf5a,Prolif Myofb
Fam111a,Prolif Myofb
Psma3,Prolif Myofb
Ybx1,Prolif Myofb
Tipin,Prolif Myofb
Psmb2,Prolif Myofb
Arf4,Prolif Myofb
Tceal8,Prolif Myofb
Itgb3bp,Prolif Myofb
Bub3,Prolif Myofb
Phgdh,Prolif Myofb
Snrpd2,Prolif Myofb
Syncrip,Prolif Myofb
Nxt1,Prolif Myofb
Rfc3,Prolif Myofb
Id3,Prolif Myofb
Mthfd2,Prolif Myofb
Hmgn3,Prolif Myofb
Psmc6,Prolif Myofb
Rpn1,Prolif Myofb
Flna,Prolif Myofb
Ap2m1,Prolif Myofb
Snrpa,Prolif Myofb
Arpc2,Prolif Myofb
Psmc1,Prolif Myofb
Eif1ax,Prolif Myofb
Prkcsh,Prolif Myofb
Brip1os,Prolif Myofb
Anapc11,Prolif Myofb
Bcat1,Prolif Myofb
Golt1b,Prolif Myofb
Vbp1,Prolif Myofb
Tmem258,Prolif Myofb
H3f3b,Prolif Myofb
Pgp,Prolif Myofb
Rcc1,Prolif Myofb
Snrpb,Prolif Myofb
Tubg1,Prolif Myofb
Larp7,Prolif Myofb
Rcn3,Prolif Myofb
Ewsr1,Prolif Myofb
Tmed9,Prolif Myofb
Psmb5,Prolif Myofb
Psmc4,Prolif Myofb
Ptgr1,Prolif Myofb
Rpn2,Prolif Myofb
C1qtnf6,Prolif Myofb
Hprt,Prolif Myofb
Eif4a3,Prolif Myofb
Ssb,Prolif Myofb
Nup37,Prolif Myofb
Atp5a1,Prolif Myofb
Ndufab1,Prolif Myofb
Pole4,Prolif Myofb
Myh9,Prolif Myofb
Tmsb4x,Prolif Myofb
Hsd17b12,Prolif Myofb
Bud31,Prolif Myofb
Thoc7,Prolif Myofb
Fkbp2,Prolif Myofb
Lsm8,Prolif Myofb
Nhp2,Prolif Myofb
Uqcrb,Prolif Myofb
Trim28,Prolif Myofb
Cct5,Prolif Myofb
Mtpn,Prolif Myofb
Timm17b,Prolif Myofb
Actn4,Prolif Myofb
Col5a2,Prolif Myofb
Nudt4,Prolif Myofb
Eif6,Prolif Myofb
Sh3glb1,Prolif Myofb
Slmo2,Prolif Myofb
Sar1a,Prolif Myofb
Rbmx,Prolif Myofb
Vim,Prolif Myofb
Itgb1,Prolif Myofb
Rpl36al,Prolif Myofb
Cox5b,Prolif Myofb
Mrfap1,Prolif Myofb
Snx3,Prolif Myofb
Impdh2,Prolif Myofb
March5,Prolif Myofb
Capzb,Prolif Myofb
Cct2,Prolif Myofb
Higd1a,Prolif Myofb
Bak1,Prolif Myofb
Ngfrap1,Prolif Myofb
Nsmce4a,Prolif Myofb
Vasp,Prolif Myofb
Sumo2,Prolif Myofb
Cyb5r3,Prolif Myofb
Hnrnpdl,Prolif Myofb
Rdm1,Prolif Myofb
Tra2b,Prolif Myofb
Palld,Prolif Myofb
H1fx,Prolif Myofb
Eif4g2,Prolif Myofb
Gnb2,Prolif Myofb
Ak2,Prolif Myofb
Gnb1,Prolif Myofb
Tmx1,Prolif Myofb
Tmem263,Prolif Myofb
Elavl1,Prolif Myofb
Med21,Prolif Myofb
Dap,Prolif Myofb
Gcsh,Prolif Myofb
Cnih1,Prolif Myofb
Kdelr1,Prolif Myofb
Fopnl,Prolif Myofb
Hp1bp3,Prolif Myofb
Blmh,Prolif Myofb
Ccdc25,Prolif Myofb
Rexo2,Prolif Myofb
Ost4,Prolif Myofb
1810037I17Rik,Prolif Myofb
Actr1b,Prolif Myofb
Srsf1,Prolif Myofb
Cenpt,Prolif Myofb
Lyar,Prolif Myofb
Alyref,Prolif Myofb
Cotl1,Prolif Myofb
Zcrb1,Prolif Myofb
Ndufb8,Prolif Myofb
Pdia5,Prolif Myofb
Uqcrq,Prolif Myofb
Yif1b,Prolif Myofb
Trp53,Prolif Myofb
Nsg1,Prolif Myofb
Anapc5,Prolif Myofb
Hspa5,Prolif Myofb
Oxct1,Prolif Myofb
Cct4,Prolif Myofb
Limd2,Prolif Myofb
Ska2,Prolif Myofb
Sf3b5,Prolif Myofb
Psmc2,Prolif Myofb
Khdrbs1,Prolif Myofb
Anxa3,Prolif Myofb
Galk1,Prolif Myofb
Strap,Prolif Myofb
Psmd1,Prolif Myofb
Tmsb10,Prolif Myofb
Cdca4,Prolif Myofb
Tma7,Prolif Myofb
Tomm20,Prolif Myofb
Rassf1,Prolif Myofb
Eif4ebp1,Prolif Myofb
Ccar1,Prolif Myofb
Zdhhc16,Prolif Myofb
Tbcb,Prolif Myofb
Kdelr3,Prolif Myofb
Timm50,Prolif Myofb
Minos1,Prolif Myofb
Ilf2,Prolif Myofb
Stub1,Prolif Myofb
Srprb,Prolif Myofb
Csnk2b,Prolif Myofb
Cops6,Prolif Myofb
Tmem176a,Prolif Myofb
sept10,Prolif Myofb
Cdc42,Prolif Myofb
Praf2,Prolif Myofb
Mmadhc,Prolif Myofb
Plod2,Prolif Myofb
Edf1,Prolif Myofb
Hspa4,Prolif Myofb
Psmd8,Prolif Myofb
Ppp1cc,Prolif Myofb
Pafah1b2,Prolif Myofb
Gatad1,Prolif Myofb
Cox7c,Prolif Myofb
Mrps16,Prolif Myofb
Ddb1,Prolif Myofb
Usp14,Prolif Myofb
Ilk,Prolif Myofb
Hmgn5,Prolif Myofb
Stt3a,Prolif Myofb
Eef1g,Prolif Myofb
Anxa1,Prolif Myofb
Psmb3,Prolif Myofb
Pfdn6,Prolif Myofb
Psmb6,Prolif Myofb
Rbm8a,Prolif Myofb
Rab1a,Prolif Myofb
Uqcrc1,Prolif Myofb
sept2,Prolif Myofb
P3h1,Prolif Myofb
Fh1,Prolif Myofb
Timm13,Prolif Myofb
Papola,Prolif Myofb
Cbfb,Prolif Myofb
Txnl4a,Prolif Myofb
2010107E04Rik,Prolif Myofb
Txnrd1,Prolif Myofb
Psma1,Prolif Myofb
Ergic2,Prolif Myofb
Med30,Prolif Myofb
Cox6c,Prolif Myofb
Pabpc1,Prolif Myofb
Ptn,Prolif Myofb
Pycard,Prolif Myofb
Rer1,Prolif Myofb
Gars,Prolif Myofb
Pkig,Prolif Myofb
Idh3a,Prolif Myofb
Haus8,Prolif Myofb
Fzr1,Prolif Myofb
Eri1,Prolif Myofb
Tmem138,Prolif Myofb
Slirp,Prolif Myofb
Taf12,Prolif Myofb
Cops5,Prolif Myofb
Smc1a,Prolif Myofb
Rhoa,Prolif Myofb
Glrx5,Prolif Myofb
Sub1,Prolif Myofb
Gng5,Prolif Myofb
Saa3,Epicardium
Clu,Epicardium
Col1a1,Epicardium
Lgals7,Epicardium
Plac8,Epicardium
Dmkn,Epicardium
Col1a2,Epicardium
Aebp1,Epicardium
Nkain4,Epicardium
S100a1,Epicardium
C3,Epicardium
Col3a1,Epicardium
Wt1,Epicardium
C1s1,Epicardium
Meg3,Epicardium
Cpxm1,Epicardium
Trf,Epicardium
Fn1,Epicardium
Il33,Epicardium
Mfap2,Epicardium
Ncam1,Epicardium
Tmem176b,Epicardium
Gm12840,Epicardium
Sfrp2,Epicardium
Fndc1,Epicardium
Tmem176a,Epicardium
Slc9a3r1,Epicardium
Sparc,Epicardium
C4b,Epicardium
Rspo1,Epicardium
Htra1,Epicardium
Nbl1,Epicardium
Wnt4,Epicardium
C2,Epicardium
Scara3,Epicardium
Smim1,Epicardium
Igf1,Epicardium
Ptgs1,Epicardium
Irf7,Epicardium
Cdh11,Epicardium
Cpz,Epicardium
Col14a1,Epicardium
Ier3,Epicardium
Npc2,Epicardium
Col5a2,Epicardium
Maf,Epicardium
Mpp6,Epicardium
Enpp2,Epicardium
Cthrc1,Epicardium
Gpc3,Epicardium
Mmp14,Epicardium
Cxadr,Epicardium
Tspan13,Epicardium
Ezr,Epicardium
Osr1,Epicardium
Lgals1,Epicardium
Mdk,Epicardium
Pdpn,Epicardium
Csrp2,Epicardium
Cav1,Epicardium
Atp1b1,Epicardium
Ildr2,Epicardium
Marcksl1,Epicardium
Wisp1,Epicardium
Hist1h2bc,Epicardium
Isg15,Epicardium
Sdc4,Epicardium
Flrt2,Epicardium
Pdlim4,Epicardium
Tsc22d1,Epicardium
Ly6e,Epicardium
Pvrl2,Epicardium
Palld,Epicardium
F11r,Epicardium
Bmp1,Epicardium
Hspb1,Epicardium
Igfbp6,Epicardium
Ctsh,Epicardium
Cd74,Epicardium
Tshz2,Epicardium
Tcea3,Epicardium
Lgmn,Epicardium
Meis2,Epicardium
Cyp1b1,Epicardium
Rpl41,Epicardium
Gm10076,Epicardium
Celf4,Epicardium
Mmp23,Epicardium
Adamtsl1,Epicardium
Zfp503,Epicardium
Gata6,Epicardium
H2-K1,Epicardium
Col5a1,Epicardium
Ldhb,Epicardium
Tpm2,Epicardium
Aprt,Epicardium
Ly6a,Epicardium
Ly6c1,Epicardium
Lrrc17,Epicardium
Myrf,Epicardium
Lgals3,Epicardium
Steap4,Epicardium
Fkbp11,Epicardium
Fth1,Epicardium
Cxcl12,Epicardium
Gm20186,Epicardium
Slit3,Epicardium
Ifi30,Epicardium
Ptgis,Epicardium
Rpp25,Epicardium
Lox,Epicardium
Sbsn,Epicardium
Acp5,Epicardium
Plat,Epicardium
Plscr2,Epicardium
Adam33,Epicardium
Plscr1,Epicardium
Rps28,Epicardium
Isyna1,Epicardium
Cd248,Epicardium
Ptger3,Epicardium
Ctsb,Epicardium
Adam12,Epicardium
Grb10,Epicardium
Plod2,Epicardium
Spon2,Epicardium
Bst2,Epicardium
Slc39a1,Epicardium
Hcfc1r1,Epicardium
Vmp1,Epicardium
Ctsk,Epicardium
Nfkbia,Epicardium
Hoxa5,Epicardium
Ndufa3,Epicardium
Ppic,Epicardium
Frmd4b,Epicardium
Sox4,Epicardium
Cstb,Epicardium
Rpl38,Epicardium
Hif1a,Epicardium
Itm2a,Epicardium
Wls,Epicardium
Metrnl,Epicardium
S100a11,Epicardium
Prr13,Epicardium
B4galt1,Epicardium
Rps27,Epicardium
Cercam,Epicardium
Mapkapk3,Epicardium
Skap2,Epicardium
Atpif1,Epicardium
Zbp1,Epicardium
Cotl1,Epicardium
Rpl37a,Epicardium
Gaa,Epicardium
Serpinb1a,Epicardium
Tmsb4x,Epicardium
Adgrd1,Epicardium
S100a10,Epicardium
Ctsl,Epicardium
Ociad2,Epicardium
Cd44,Epicardium
Gda,Epicardium
Runx1,Epicardium
Arl4a,Epicardium
Rpl39,Epicardium
Tmem119,Epicardium
Il1r1,Epicardium
Plce1,Epicardium
Col6a3,Epicardium
Meis1,Epicardium
1810058I24Rik,Epicardium
Pabpc1,Epicardium
Tpi1,Epicardium
Dhrs3,Epicardium
Tgfbr2,Epicardium
Ptges,Epicardium
Rps26,Epicardium
Ube2l6,Epicardium
Rhou,Epicardium
Pdzrn3,Epicardium
Heg1,Epicardium
Grn,Epicardium
Prrx2,Epicardium
Rras2,Epicardium
Nupr1,Epicardium
Creg1,Epicardium
Hspb8,Epicardium
Uba52,Epicardium
Minos1,Epicardium
Syne2,Epicardium
Adamts15,Epicardium
Abracl,Epicardium
Capn6,Epicardium
Dfna5,Epicardium
C1ra,Epicardium
Syngr2,Epicardium
Psme1,Epicardium
Spsb1,Epicardium
Soat1,Epicardium
Pbx1,Epicardium
Pltp,Epicardium
Thbs3,Epicardium
Man2b1,Epicardium
Col12a1,Epicardium
Nkd1,Epicardium
Cald1,Epicardium
Olfml2b,Epicardium
Serpinf1,Epicardium
Ifi204,Epicardium
Ndufa4,Epicardium
Hacd4,Epicardium
Foxp1,Epicardium
Pycard,Epicardium
Abhd2,Epicardium
Pafah1b3,Epicardium
Ptprf,Epicardium
Emilin2,Epicardium
Fscn1,Epicardium
Acly,Epicardium
C1qtnf6,Epicardium
Cebpb,Epicardium
Gadd45b,Epicardium
Snhg18,Epicardium
Uqcr11,Epicardium
Cmtm3,Epicardium
Sec61g,Epicardium
Pamr1,Epicardium
Fzd1,Epicardium
Tmem98,Epicardium
Maged1,Epicardium
Mmp19,Epicardium
Crip1,Epicardium
Cdon,Epicardium
Phldb2,Epicardium
Tma7,Epicardium
Laptm4b,Epicardium
Tgm2,Epicardium
Psmb8,Epicardium
Efnb1,Epicardium
Plxdc2,Epicardium
Serpinh1,Epicardium
Basp1,Epicardium
Ppfibp1,Epicardium
Snrpg,Epicardium
Prdx5,Epicardium
Col16a1,Epicardium
App,Epicardium
Lum,Epicardium
Cyb5r3,Epicardium
Gja1,Epicardium
Gbp2,Epicardium
Gng5,Epicardium
Oasl2,Epicardium
Capzb,Epicardium
Efna5,Epicardium
Lrrn4cl,Epicardium
Bzw2,Epicardium
Gm2a,Epicardium
Creb3l1,Epicardium
Mgst1,Epicardium
Ddb1,Epicardium
Maged2,Epicardium
Prdx2,Epicardium
Tpm1,Epicardium
Ost4,Epicardium
Cpe,Epicardium
Dram1,Epicardium
Antxr1,Epicardium
Cnpy2,Epicardium
Prelid1,Epicardium
Gm1673,Epicardium
Clic1,Epicardium
Tubb2b,Epicardium
Nxn,Epicardium
Dab2,Epicardium
Vamp8,Epicardium
Cryab,Epicardium
Sec61b,Epicardium
Pbxip1,Epicardium
Pcdh7,Epicardium
Atp5k,Epicardium
Ctnnbip1,Epicardium
Rpl35,Epicardium
H2-Ab1,Epicardium
Tnfaip8,Epicardium
Gpx1,Epicardium
Igfbp3,Epicardium
Mmp2,Epicardium
Lgals9,Epicardium
Serf1,Epicardium
Ifit3,IFNr
Isg15,IFNr
Ifit1,IFNr
Iigp1,IFNr
Ifit3b,IFNr
Rtp4,IFNr
Irf7,IFNr
Rsad2,IFNr
Usp18,IFNr
Ifi203,IFNr
Bst2,IFNr
Phf11d,IFNr
Mndal,IFNr
Oasl2,IFNr
Gm4951,IFNr
Gbp7,IFNr
Gbp2,IFNr
Igtp,IFNr
Ly6e,IFNr
Xaf1,IFNr
Ifi27l2a,IFNr
Cmpk2,IFNr
Trim30a,IFNr
Stat1,IFNr
Ifi35,IFNr
Ly6a,IFNr
Gbp3,IFNr
Sp100,IFNr
Tor3a,IFNr
Ifitm3,IFNr
Psmb8,IFNr
H2-T22,IFNr
Lgals9,IFNr
Ifi204,IFNr
Sp110,IFNr
Ifi47,IFNr
Apod,IFNr
Plscr2,IFNr
Eif2ak2,IFNr
Ifih1,IFNr
Zbp1,IFNr
Mnda,IFNr
Samhd1,IFNr
Ube2l6,IFNr
Psmb10,IFNr
Lgals3bp,IFNr
Irgm1,IFNr
Stat2,IFNr
Rnf213,IFNr
Aftph,IFNr
Samd9l,IFNr
AW112010,IFNr
Slfn2,IFNr
H2-K1,IFNr
Irf9,IFNr
Trim12a,IFNr
B2m,IFNr
Ddx58,IFNr
Tap1,IFNr
Tor1aip1,IFNr
Tor1aip2,IFNr
Parp14,IFNr
AI607873,IFNr
Psmb9,IFNr
Tmsb10,IFNr
H2-D1,IFNr
Parp12,IFNr
Shisa5,IFNr
Nmi,IFNr
Clic4,IFNr
Tap2,IFNr
Col8a1,IFNr
Tapbp,IFNr
Aida,IFNr
Cilp,IFNr
Slfn5,IFNr
Ogfr,IFNr
Ifi205,IFNr
Fam46a,IFNr
Lysmd2,IFNr
Trafd1,IFNr
Tmem140,IFNr
H2-Q4,IFNr
Cd47,IFNr
Isg20,IFNr
Postn,IFNr
Ms4a4d,IFNr
Psme2,IFNr
Emp1,IFNr
Tspo,IFNr
Vcam1,IFNr
Xdh,IFNr
Pmepa1,IFNr
Pnp,IFNr
Zc3hav1,IFNr
Psme1,IFNr
Gnb4,IFNr
Itgb5,IFNr
Itgbl1,IFNr
Ppp1r2,IFNr
Lyz2,DCs
Cd74,DCs
Ctss,DCs
Fcer1g,DCs
C1qb,DCs
Tyrobp,DCs
H2-Ab1,DCs
C1qa,DCs
Lgals3,DCs
H2-Aa,DCs
Cd52,DCs
Spp1,DCs
C1qc,DCs
Fabp4,DCs
Wfdc17,DCs
H2-Eb1,DCs
Srgn,DCs
Ccl6,DCs
Ms4a7,DCs
Ctsc,DCs
Plac8,DCs
Coro1a,DCs
Fabp5,DCs
Cxcl2,DCs
Laptm5,DCs
Il1b,DCs
Cd14,DCs
Ccl9,DCs
Cd68,DCs
Alox5ap,DCs
Tmsb4x,DCs
Ms4a6c,DCs
Trem2,DCs
Pf4,DCs
Ctsd,DCs
Lgmn,DCs
Lst1,DCs
Cd53,DCs
Cd36,DCs
Cotl1,DCs
Actb,DCs
Ucp2,DCs
Cyba,DCs
Fcgr3,DCs
Rac2,DCs
Ctsb,DCs
Sh3bgrl3,DCs
Spi1,DCs
Ms4a6d,DCs
Apoe,DCs
Ctsh,DCs
Aif1,DCs
Ifi30,DCs
Acta2,DCs
Ptpn18,DCs
Gngt2,DCs
Lcp1,DCs
Fn1,DCs
Pld4,DCs
Rgs2,DCs
Fyb,DCs
Pim1,DCs
Ly86,DCs
Psap,DCs
Gpx1,DCs
C3ar1,DCs
Fxyd5,DCs
H2afz,DCs
Csf1r,DCs
Tspan13,DCs
Arhgdib,DCs
Bcl2a1b,DCs
Gmfg,DCs
C5ar1,DCs
H2-DMa,DCs
Col1a1,DCs
Tpd52,DCs
Unc93b1,DCs
Ms4a6b,DCs
Pfn1,DCs
Plek,DCs
Cthrc1,DCs
Btg1,DCs
Nfkbia,DCs
Ftl1,DCs
S100a4,DCs
Cybb,DCs
Mpeg1,DCs
Clec12a,DCs
Fcgr2b,DCs
Psmb8,DCs
Fam49b,DCs
Selplg,DCs
Lilrb4a,DCs
Hcls1,DCs
Cstb,DCs
AF251705,DCs
Atox1,DCs
Tagln,DCs
Ptprc,DCs
Slc39a1,DCs
Rgs10,DCs
Ninj1,DCs
Limd2,DCs
Slfn2,DCs
Fcgr1,DCs
Grn,DCs
Cfl1,DCs
Pycard,DCs
Gm2a,DCs
Skap2,DCs
Efhd2,DCs
Evi2a,DCs
Msrb1,DCs
H2-K1,DCs
Slc3a2,DCs
Vamp8,DCs
Csf2ra,DCs
Isg15,DCs
Slc25a5,DCs
Ly6c1,DCs
H2-D1,DCs
Tgfbi,DCs
Hexb,DCs
B2m,DCs
Cxcl16,DCs
Cd44,DCs
Plin2,DCs
Gapdh,DCs
Actg1,DCs
Actr3,DCs
Ly6e,DCs
Aprt,DCs
Hexa,DCs
Tpm2,DCs
Pitpna,DCs
Cox5a,DCs
Arpc2,DCs
Marcksl1,DCs
Syngr2,DCs
Fam96a,DCs
Mkrn1,DCs
Npc2,DCs
Bst2,DCs
AW112010,DCs
Ctsa,DCs
Taldo1,DCs
Ehd4,DCs
Vsir,DCs
Ier5,DCs
Abracl,DCs
Crem,DCs
Snx5,DCs
Hmox1,DCs
Csrp2,DCs
Sec11c,DCs
Clic1,DCs
Runx1,DCs
Clta,DCs
Kdelr2,DCs
Tmem176a,DCs
Eno1,DCs
Slc6a6,DCs
Samhd1,DCs
Abhd2,DCs
Msn,DCs
Tmem176b,DCs
Myh9,DCs
Erp29,DCs
Sirpa,DCs
Hmgb2,DCs
Uba52,DCs
Sdcbp,DCs
Gm10116,DCs
Sub1,DCs
Man2b1,DCs
Calm1,DCs
